City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,79.61,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
1,Arraial Do Cabo,BR,75.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
4,Rincon,US,87.71,scattered clouds,32.296,-81.2354,Days Inn Rincon
14,Odweyne,SO,80.38,clear sky,9.4092,45.064,Eng Hiirey House
19,Kimbe,PG,75.15,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
28,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
30,Faanui,PF,79.34,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
32,Sao Filipe,CV,80.1,clear sky,14.8961,-24.4956,Hotel Xaguate
35,Dingle,PH,75.7,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
36,La Asuncion,VE,86.05,few clouds,11.0333,-63.8628,Colinas de Matasiete
37,Buckeye,US,90.19,haze,33.3703,-112.5838,Buckeye Motor Hotel
38,Itoman,JP,82.42,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
40,Pombas,CV,80.38,broken clouds,17.1503,-25.0201,Paul Paradis
42,Castro,BR,83.62,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
43,Atuona,PF,77.61,light rain,-9.8,-139.0333,Villa Enata
46,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
49,Bandarbeyla,SO,81.46,broken clouds,9.4942,50.8122,JABIR HOTEL
50,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
52,Lorengau,PG,81.27,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
54,Sinnamary,GF,84.47,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
55,Namatanai,PG,79.11,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
56,Mankachar,IN,77.97,overcast clouds,25.5333,89.8667,Shuhan Sahil Hussain
58,Buala,SB,79.92,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
62,Bangolo,CI,76.57,overcast clouds,7.0069,-7.475,Résidence hôtel yekoula
67,Bengkulu,ID,75.61,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
68,Jibuti,DJ,85.42,clear sky,11.5,42.5,Orchid Main Camp Goubet
71,Rapu-Rapu,PH,82.2,broken clouds,13.1866,124.1256,Seaview Dormitel
76,Hudson Bay,CA,84.49,clear sky,52.85,-102.3842,Norwood Motel LTD
77,Waingapu,ID,75.43,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
80,Tabas,IR,82.62,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
87,Stonewall,CA,82.98,scattered clouds,50.1344,-97.3268,Rockwood Motor Inn & Motel
88,Acapulco,MX,84.9,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
89,Praia,CV,84.74,clear sky,14.9215,-23.5087,LT Aparthotel
90,Butaritari,KI,83.12,clear sky,3.0707,172.7902,Isles Sunset Lodge
93,Lompoc,US,77.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
97,Guarapari,BR,80.91,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
98,Mitsamiouli,KM,77.92,clear sky,-11.3847,43.2844,Foyer ADM
101,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
104,Quelimane,MZ,77.02,clear sky,-17.8786,36.8883,Hotel Flamingo
107,Saint Anthony,US,81.66,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
109,Mangrol,IN,77.45,heavy intensity rain,21.1167,70.1167,Hotel The Royal Honours
110,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
111,Kavieng,PG,81.39,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
115,Port-Gentil,GA,77.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
120,Kandrian,PG,76.23,overcast clouds,-6.2167,149.55,Kandrian Station
121,Anupgarh,IN,88.23,clear sky,29.1911,73.2086,Kushal & Vishal DTH Kappa Internet Service
128,Puerto Narino,CO,84.15,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
131,Hit,IQ,84.22,clear sky,33.6416,42.8251,صالون زيرو
132,Wanlaweyn,SO,78.62,few clouds,2.6185,44.8938,GAASHAAN HOME
135,Bosaso,SO,88.18,broken clouds,11.2842,49.1816,Red Sea Hotel
138,Kahului,US,81.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
142,Jalu,LY,80.1,clear sky,29.0331,21.5482,صاحبة الفخامة
143,Linguere,SN,94.66,clear sky,15.3953,-15.1193,AYO Casablanca
144,Pilar,BR,84.13,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
146,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
150,Ilheus,BR,78.39,scattered clouds,-14.7889,-39.0494,Barravento Hotel
155,Vila Velha,BR,80.96,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
157,Daru,PG,77.5,overcast clouds,-9.0763,143.2092,Daru Lodge
158,Coahuayana,MX,88.32,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
162,Sarangani,PH,83.86,overcast clouds,5.4033,125.4636,Ballistic Islet
163,Hithadhoo,MV,82.58,few clouds,-0.6,73.0833,Scoop Guest House
165,Naze,JP,78.35,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
169,Tucuman,AR,84.2,few clouds,-26.8241,-65.2226,HOTEL MIAMI
175,Ponta Do Sol,PT,75.83,broken clouds,32.6667,-17.1,Hotel do Campo
178,Balikpapan,ID,76.84,moderate rain,-1.2675,116.8289,ibis Balikpapan
180,Davila,PH,80.82,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
182,Devils Lake,US,82.38,clear sky,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
185,Vilhena,BR,83.32,overcast clouds,-12.7406,-60.1458,Hotel Mirage
186,Jaunpur,IN,82.42,few clouds,25.7333,82.6833,Hotel Varun
187,Gizo,SB,80.51,overcast clouds,-8.103,156.8419,Imagination Island
188,Bilma,NE,90.23,clear sky,18.6853,12.9164,Expeditions Ténére voyages
189,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
192,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
194,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
197,Mount Isa,AU,78.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
