City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.7297,-155.09,79.61,77,75,0.0,light rain
1,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,78,0,20.71,clear sky
2,Jamestown,US,42.097,-79.2353,68.52,57,1,3.0,clear sky
3,Albany,US,42.6001,-73.9662,67.68,78,100,5.61,overcast clouds
4,Rincon,US,32.296,-81.2354,87.71,55,40,0.0,scattered clouds
5,Vaini,TO,-21.2,-175.2,71.76,94,20,5.75,few clouds
6,Bredasdorp,ZA,-34.5322,20.0403,57.27,86,86,4.56,overcast clouds
7,Laramie,US,41.3114,-105.5911,71.91,26,83,15.75,broken clouds
8,Los Llanos De Aridane,ES,28.6585,-17.9182,74.12,87,20,17.27,volcanic ash
9,East London,ZA,-33.0153,27.9116,63.46,74,100,9.06,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,49.66,43,75,21.85,broken clouds
11,Chicama,PE,-7.8447,-79.1469,63.14,58,14,10.45,few clouds
12,Punta Arenas,CL,-53.15,-70.9167,50.11,43,40,37.98,scattered clouds
13,Severo-Kurilsk,RU,50.6789,156.125,49.96,78,94,6.78,overcast clouds
14,Odweyne,SO,9.4092,45.064,80.38,40,6,6.93,clear sky
15,Carnarvon,AU,-24.8667,113.6333,59.07,88,35,6.91,scattered clouds
16,Fortuna,US,40.5982,-124.1573,63.93,66,1,3.0,clear sky
17,Bluff,NZ,-46.6,168.3333,42.8,83,89,14.56,light rain
18,Puerto Ayora,EC,-0.7393,-90.3518,70.93,84,88,10.11,overcast clouds
19,Kimbe,PG,-5.5502,150.1429,75.15,92,100,3.2,overcast clouds
20,Busselton,AU,-33.65,115.3333,57.04,81,91,11.16,overcast clouds
21,Coquimbo,CL,-29.9533,-71.3436,60.53,77,40,12.66,scattered clouds
22,Kibala,TD,9.1104,18.3463,74.19,88,100,3.76,light rain
23,Magistralnyy,RU,56.1725,107.4458,32.63,98,100,1.86,light snow
24,Cape Town,ZA,-33.9258,18.4232,61.11,75,0,15.52,clear sky
25,Maniwaki,CA,46.3834,-75.966,54.72,59,100,4.76,overcast clouds
26,Mahebourg,MU,-20.4081,57.7,72.25,77,84,15.82,light rain
27,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,59.4,89,100,13.22,overcast clouds
28,Alofi,NU,-19.0595,-169.9187,76.89,94,75,11.5,broken clouds
29,Mar Del Plata,AR,-38.0023,-57.5575,59.0,69,0,8.99,clear sky
30,Faanui,PF,-16.4833,-151.75,79.34,74,21,18.43,few clouds
31,Belokurikha,RU,51.9959,84.9896,39.79,94,100,5.41,overcast clouds
32,Sao Filipe,CV,14.8961,-24.4956,80.1,78,0,10.13,clear sky
33,New Norfolk,AU,-42.7826,147.0587,47.71,77,100,0.94,overcast clouds
34,Petrovsk-Zabaykalskiy,RU,51.273,108.843,28.09,86,100,4.25,overcast clouds
35,Dingle,PH,10.9995,122.6711,75.7,90,100,2.84,overcast clouds
36,La Asuncion,VE,11.0333,-63.8628,86.05,64,17,6.67,few clouds
37,Buckeye,US,33.3703,-112.5838,90.19,38,0,9.22,haze
38,Itoman,JP,26.1247,127.6694,82.42,88,40,8.05,scattered clouds
39,Kruisfontein,ZA,-34.0033,24.7314,54.88,84,100,5.44,overcast clouds
40,Pombas,CV,17.1503,-25.0201,80.38,81,57,9.91,broken clouds
41,Iringa,TZ,-7.7667,35.7,62.46,62,10,8.5,clear sky
42,Castro,BR,-24.7911,-50.0119,83.62,34,97,6.02,overcast clouds
43,Atuona,PF,-9.8,-139.0333,77.61,76,21,19.8,light rain
44,Lerik,AZ,38.7726,48.4128,56.12,97,100,3.2,overcast clouds
45,Araouane,ML,18.9048,-3.5265,97.11,10,0,10.09,clear sky
46,Avarua,CK,-21.2078,-159.775,77.05,78,20,5.75,few clouds
47,Shimoda,JP,34.6667,138.95,65.1,86,21,12.91,few clouds
48,Rikitea,PF,-23.1203,-134.9692,73.06,70,54,20.24,broken clouds
49,Bandarbeyla,SO,9.4942,50.8122,81.46,72,60,23.55,broken clouds
50,Denpasar,ID,-8.65,115.2167,78.46,88,40,2.3,scattered clouds
51,Cherskiy,RU,68.75,161.3,6.85,91,37,3.67,scattered clouds
52,Lorengau,PG,-2.0226,147.2712,81.27,78,64,6.67,broken clouds
53,Raga,SS,8.4596,25.678,72.75,91,100,2.44,light rain
54,Sinnamary,GF,5.3833,-52.95,84.47,68,99,8.5,overcast clouds
55,Namatanai,PG,-3.6667,152.4333,79.11,80,98,5.28,overcast clouds
56,Mankachar,IN,25.5333,89.8667,77.97,89,100,7.43,overcast clouds
57,Shubarkuduk,KZ,49.1447,56.4872,41.65,69,100,12.21,overcast clouds
58,Buala,SB,-8.145,159.5921,79.92,83,81,8.16,broken clouds
59,The Pas,CA,53.8251,-101.2541,73.24,41,0,12.28,clear sky
60,Dusetos,LT,55.75,25.85,49.55,76,100,6.11,overcast clouds
61,Thoen,TH,17.6129,99.2161,73.53,98,59,1.34,broken clouds
62,Bangolo,CI,7.0069,-7.475,76.57,80,100,1.52,overcast clouds
63,Nemuro,JP,43.3236,145.575,57.7,85,60,10.51,broken clouds
64,Kodiak,US,57.79,-152.4072,47.71,71,90,5.75,overcast clouds
65,Tasiilaq,GL,65.6145,-37.6368,35.76,56,100,7.65,overcast clouds
66,Mataura,NZ,-46.1927,168.8643,42.48,94,17,2.73,few clouds
67,Bengkulu,ID,-3.8004,102.2655,75.61,91,92,3.31,moderate rain
68,Jibuti,DJ,11.5,42.5,85.42,35,3,8.08,clear sky
69,Porto-Vecchio,FR,41.591,9.2795,71.13,83,0,1.14,clear sky
70,San Patricio,US,28.017,-97.5169,95.72,43,71,12.86,broken clouds
71,Rapu-Rapu,PH,13.1866,124.1256,82.2,80,66,7.43,broken clouds
72,Tiksi,RU,71.6872,128.8694,31.03,98,99,2.35,overcast clouds
73,Alice Springs,AU,-23.7,133.8833,58.55,29,2,8.05,clear sky
74,Soroti,UG,1.7146,33.6111,68.0,86,98,5.82,overcast clouds
75,Ambulu,ID,-8.345,113.6058,72.95,89,67,3.09,broken clouds
76,Hudson Bay,CA,52.85,-102.3842,84.49,23,0,8.66,clear sky
77,Waingapu,ID,-9.6567,120.2641,75.43,82,90,5.5,overcast clouds
78,Hobart,AU,-42.8794,147.3294,48.06,91,90,5.75,overcast clouds
